ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1845,Raqibul Hasan (BDESH),2008-2010,5,0, -   ,0,0,0,0,0,0,0,0,0
1846,Ravinderpal Singh (CAN),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1847,AT Rayudu (INDIA),2014-2016,6,0, -   ,0,0,0,0,0,0,0,0,0
1848,Razmal Shigiwal (Aut),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1849,CMW Read (ENG),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1850,NJ Reardon (AUS),2014-2014,2,0, -   ,0,0,0,0,0,0,0,0,0
1851,DJ Reekers (NL),2008-2009,6,0, -   ,0,0,0,0,0,0,0,0,0
1852,Rehman Abdul (ITA),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1853,FL Reifer (WI),2009-2009,1,0, -   ,0,0,0,0,0,0,0,0,0
1854,ACL Richards (WI),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1855,DM Richards (WI),2009-2009,1,0, -   ,0,0,0,0,0,0,0,0,0
1856,MJ Richardson (GER),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1857,CP Rizwan (UAE),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1858,Rizwan Mahmood (DEN),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1859,BJ Rohrer (AUS),2013-2013,1,0, -   ,0,0,0,0,0,0,0,0,0
1860,L Ronchi (AUS/ICC/NZ),2008-2018,33,0, -   ,0,0,0,0,0,0,0,0,0
1861,Rony Talukdar (BDESH),2015-2015,1,0, -   ,0,0,0,0,0,0,0,0,0
1862,RR Rossouw (SA),2014-2016,15,0, -   ,0,0,0,0,0,0,0,0,0
1863,JJ Roy (ENG),2014-2018,32,0, -   ,0,0,0,0,0,0,0,0,0
1864,JA Rudolph (SA),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1865,RJMGM Rupasinghe (SL),2009-2009,2,0, -   ,0,0,0,0,0,0,0,0,0
1866,HD Rutherford (NZ),2013-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1867,VM Sachdev (PNM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1868,AK Sah (NEPAL),2018-2018,1,0, -   ,0,0,0,0,0,0,0,0,0
1869,Sahibzada Farhan (PAK),2018-2018,3,0, -   ,0,0,0,0,0,0,0,0,0
1870,Sajid Cheema (Saudi),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1871,J Salazar (Peru),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1872,Salman Butt (PAK),2007-2010,24,0, -   ,0,0,0,0,0,0,0,0,0
1873,S Samarawickrama (SL),2017-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1874,BA Sambo (Moz),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1875,SV Samson (INDIA),2015-2015,1,0, -   ,0,0,0,0,0,0,0,0,0
1876,R Sandaruwan (KUW),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1877,KC Sangakkara (SL),2006-2014,56,0, -   ,0,0,0,0,0,0,0,0,0
1878,Saqlain Haider (UAE),2016-2016,6,0, -   ,0,0,0,0,0,0,0,0,0
1879,Sarfaraz Ahmed (PAK),2010-2019,58,0, -   ,0,0,0,0,0,0,0,0,0
1880,A Sarma (GER),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1881,JOP Scamans (Fin),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1882,JD Schoonheim (NL),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1883,TL Seifert (NZ),2018-2019,19,0, -   ,0,0,0,0,0,0,0,0,0
1884,Shabir Noori (AFG),2012-2012,1,0, -   ,0,0,0,0,0,0,0,0,0
1885,Shafiqullah (AFG),2010-2019,46,0, -   ,0,0,0,0,0,0,0,0,0
1886,Shafiq Sharif (MAL),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1887,Shafraz Jaleel (Mald),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1888,OA Shah (ENG),2007-2009,17,0, -   ,0,0,0,0,0,0,0,0,0
1889,Shahbaz Badar (BAH),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1890,Shaheryar Butt (Belg),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1891,Shahid Wasif (HKG),2016-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1892,Shahriar Nafees (BDESH),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1893,Shahzaib Hasan (PAK),2009-2010,10,0, -   ,0,0,0,0,0,0,0,0,0
1894,Shaiman Anwar (UAE),2014-2019,32,0, -   ,0,0,0,0,0,0,0,0,0
1895,Shakeel Ansar (PAK),2012-2012,2,0, -   ,0,0,0,0,0,0,0,0,0
1896,Shamsudheen Purat (Saudi),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1897,Shamsur Rahman (BDESH),2013-2014,9,0, -   ,0,0,0,0,0,0,0,0,0
1898,Sharjeel Khan (PAK),2013-2016,15,0, -   ,0,0,0,0,0,0,0,0,0
1899,D Sheeli (KUW),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1900,V Shetty (UAE),2014-2014,2,0, -   ,0,0,0,0,0,0,0,0,0
1901,Shoaib Khan jnr (PAK),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1902,V Sibanda (ZIM),2007-2016,26,0, -   ,0,0,0,0,0,0,0,0,0
1903,Simandeep Singh (HKG),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1904,Simranjit Singh (ITA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1905,MS Sinclair (NZ),2005-2007,2,0, -   ,0,0,0,0,0,0,0,0,0
1906,H Singh (GER),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1907,S Singh (PORT),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1908,JR Singleton (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1909,RM Siri (Arg),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1910,CJO Smith (SCOT),2007-2009,8,0, -   ,0,0,0,0,0,0,0,0,0
1911,DS Smith (WI),2007-2009,6,0, -   ,0,0,0,0,0,0,0,0,0
1912,S Smith (BMUDA),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1913,SJS Smith (SCOT),2010-2012,5,0, -   ,0,0,0,0,0,0,0,0,0
1914,J Smits (NL),2008-2009,6,0, -   ,0,0,0,0,0,0,0,0,0
1915,S Sohal (USA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1916,M Sohel Patel (PNM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1917,VS Solanki (ENG),2005-2007,3,0, -   ,0,0,0,0,0,0,0,0,0
1918,ES Soto (CRC),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1919,L Sreekumar (UAE),2017-2017,1,0, -   ,0,0,0,0,0,0,0,0,0
1920,H Srinivasan (GER),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1921,AJ Staal (NL),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1922,BS Stephenson (Blz),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1923,MWR Stokes (GUE),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1924,F Stoman (PORT),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1925,AJ Strauss (ENG),2005-2009,4,0, -   ,0,0,0,0,0,0,0,0,0
1926,GM Strydom (Caym),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1927,R Strydom (IRE),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1928,Sultan Ahmed (OMAN),2015-2017,17,0, -   ,0,0,0,0,0,0,0,0,0
1929,Sumair Khan (MALTA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1930,Suraj Kumar (OMAN),2019-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1931,ZE Surkari (CAN),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1932,K Suttisan (THAI),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1933,P Syafiq Ali (MAL),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1934,ES Szwarczynski (NL),2008-2013,14,0, -   ,0,0,0,0,0,0,0,0,0
1935,Talha Khan (GER),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1936,Tamim Iqbal (BDESH/ICC/World),2007-2018,75,0, -   ,0,0,0,0,0,0,0,0,0
1937,R Tari (VAN),2019-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1938,LRPL Taylor (NZ),2006-2019,95,0, -   ,0,0,0,0,0,0,0,0,0
1939,HT Tector (IRE),2019-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1940,VE Tembo (Moz),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1941,SP Terry (IRE),2016-2016,1,0, -   ,0,0,0,0,0,0,0,0,0
1942,H Thaker (CAN),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1943,WU Tharanga (SL),2006-2018,26,0, -   ,0,0,0,0,0,0,0,0,0
1944,HDRL Thirimanne (SL),2012-2016,26,0, -   ,0,0,0,0,0,0,0,0,0
1945,DC Thomas (WI),2009-2013,3,0, -   ,0,0,0,0,0,0,0,0,0
1946,RA Thomas (CAN),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1947,GJ Thompson (IRE),2016-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1948,MK Tiwary (INDIA),2011-2012,3,0, -   ,0,0,0,0,0,0,0,0,0
1949,C Tommy (VAN),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1950,OFJ Tonuu (Samoa),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1951,ME Trescothick (ENG),2005-2006,3,0, -   ,0,0,0,0,0,0,0,0,0
1952,A Tripathi (Mex),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1953,IJL Trott (ENG),2007-2010,7,0, -   ,0,0,0,0,0,0,0,0,0
1954,LJ Tucker (IRE),2016-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1955,ML Udawatte (SL),2008-2017,8,0, -   ,0,0,0,0,0,0,0,0,0
1956,T Ulutuna (TKY),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1957,J Umanath (Mex),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1958,Umar Akmal (PAK),2009-2019,84,0, -   ,0,0,0,0,0,0,0,0,0
1959,Umar Amin (PAK),2013-2018,14,0, -   ,0,0,0,0,0,0,0,0,0
1960,TP Ura (PNG),2015-2019,23,0, -   ,0,0,0,0,0,0,0,0,0
1961,Usman Ghani (AFG),2015-2019,19,0, -   ,0,0,0,0,0,0,0,0,0
1962,Usman Limbada (CAN),2010-2013,7,0, -   ,0,0,0,0,0,0,0,0,0
1963,Usman Mushtaq (UAE),2016-2016,3,0, -   ,0,0,0,0,0,0,0,0,0
1964,Usman Waheed (KUW),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1965,RV Uthappa (INDIA),2007-2015,13,0, -   ,0,0,0,0,0,0,0,0,0
1966,HE van der Dussen (SA),2018-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1967,VB van Jaarsveld (SA),2009-2009,3,0, -   ,0,0,0,0,0,0,0,0,0
1968,MN van Wyk (SA),2007-2015,8,0, -   ,0,0,0,0,0,0,0,0,0
1969,S Varathappan (KUW),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1970,JNT Vare (PNG),2015-2017,8,0, -   ,0,0,0,0,0,0,0,0,0
1971,MP Vaughan (ENG),2005-2007,2,0, -   ,0,0,0,0,0,0,0,0,0
1972,G Venkateswaran (LUX),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1973,Vikramjit Singh (NL),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1974,DJ Vilas (SA),2012-2012,1,0, -   ,0,0,0,0,0,0,0,0,0
1975,JM Vince (ENG),2015-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1976,L Vincent (NZ),2006-2007,9,0, -   ,0,0,0,0,0,0,0,0,0
1977,Vinod Kumar (ESP),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1978,J Vira (VAN),2019-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1979,TP Visee (NL),2015-2019,27,0, -   ,0,0,0,0,0,0,0,0,0
1980,Vishal Ahir (PNM),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1981,R Vishwanath (LUX),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1982,KDK Vithanage (SL),2014-2016,3,0, -   ,0,0,0,0,0,0,0,0,0
1983,MS Wade (AUS),2011-2016,26,0, -   ,0,0,0,0,0,0,0,0,0
1984,CD Wallace (SCOT),2012-2019,19,0, -   ,0,0,0,0,0,0,0,0,0
1985,CAK Walton (WI),2014-2018,19,0, -   ,0,0,0,0,0,0,0,0,0
1986,T Wangchuk jnr (BHU),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1987,DA Warner (AUS),2009-2019,76,0, -   ,0,0,0,0,0,0,0,0,0
1988,VS Wategaonkar (OMAN),2016-2016,2,0, -   ,0,0,0,0,0,0,0,0,0
1989,BJ Watling (NZ),2009-2014,5,0, -   ,0,0,0,0,0,0,0,0,0
1990,DF Watts (SCOT),2007-2012,11,0, -   ,0,0,0,0,0,0,0,0,0
1991,D Weston (GER),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1992,SA Wijeyeratne (CAN),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1993,OR Willis (Caym),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1994,GC Wilson (IRE),2008-2019,78,0, -   ,0,0,0,0,0,0,0,0,0
1995,AS Wright (GUE),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1996,Yasar Idrees (KUW),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1997,KJ Young (Blz),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1998,Zaheer Ibrahim (QAT),2019-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1999,Zakir Hasan (BDESH),2018-2018,1,0, -   ,0,0,0,0,0,0,0,0,0
2000,Zameer Khan (DEN),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
2001,Zeeshan Siddiqui (OMAN),2015-2015,5,0, -   ,0,0,0,0,0,0,0,0,0
2002,Ziaur Rehman (Fin),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
2003,Zishan Shah (DEN),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
2004,Zubaidi Zulkifle (MAL),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
2005,B Zuiderent (NL),2009-2010,6,0, -   ,0,0,0,0,0,0,0,0,0
2006,Zulqarnain Haider (PAK),2007-2010,3,0, -   ,0,0,0,0,0,0,0,0,0
