ID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1398,Kaleemullah (OMAN),2017-2019,6,2,0,9,9,4.5,7,128.57,0,0,1,0,1
1399,JS Kundi (KENYA),2019-2019,6,4,0,9,6,2.25,22,40.9,0,0,1,1,0
1400,R McLaren (SA),2009-2014,12,4,3,9,6*,9,13,69.23,0,0,0,0,0
1401,Mohammad Asif (PAK),2006-2010,11,3,3,9,5*,-,3,300,0,0,0,2,0
1402,Muhammad Asjed (ESP),2019-2019,2,1,0,9,9,9,9,100,0,0,0,1,0
1403,Muhammad Wafiq (MAL),2019-2019,4,3,1,9,6*,4.5,12,75,0,0,1,1,0
1404,JS Patel (NZ),2005-2008,11,4,1,9,5,3,14,64.28,0,0,1,1,0
1405,WKD Perkins (WI),2008-2008,1,1,0,9,9,9,11,81.81,0,0,0,1,0
1406,VRCF Poubel (),2019-2019,3,3,2,9,5*,9,15,60,0,0,0,0,0
1407,A Poulose (OMAN),2017-2017,3,3,0,9,9,3,14,64.28,0,0,2,2,0
1408,KW Richardson (AUS),2014-2019,15,2,0,9,9,4.5,8,112.5,0,0,1,0,0
1409,IH Romaine (BMUDA),2008-2008,2,2,0,9,8,4.5,20,45,0,0,0,0,0
1410,Sakib Hasan (Serb),2019-2019,2,2,0,9,8,4.5,7,128.57,0,0,0,1,0
1411,MM Sarwar (KUW),2019-2019,5,3,1,9,8,4.5,9,100,0,0,1,0,1
1412,RAJ Smith (SCOT),2019-2019,2,1,1,9,9*,-,7,128.57,0,0,0,1,0
1413,B Stanlake (AUS),2017-2019,19,2,1,9,7,9,12,75,0,0,0,0,1
1414,Syazrul Idrus (MAL),2019-2019,2,1,1,9,9*,-,8,112.5,0,0,0,1,0
1415,Usman Ali (Saudi),2019-2019,5,2,1,9,7,9,14,64.28,0,0,0,1,0
1416,T Wangchuk jnr (BHU),2019-2019,2,2,0,9,9,4.5,17,52.94,0,0,1,2,0
1417,S Waqas Ahmed (NOR),2019-2019,5,3,1,9,8*,4.5,20,45,0,0,1,0,0
1418,Abbas Saad (Saudi),2019-2019,2,2,0,8,8,4,8,100,0,0,1,1,0
1419,S Appu (MALTA),2019-2019,4,4,1,8,6,2.66,14,57.14,0,0,0,0,0
1420,B Banerjee (Mex),2019-2019,6,4,2,8,6*,4,18,44.44,0,0,2,0,0
1421,AM Blignaut (ZIM),2010-2010,1,1,0,8,8,8,8,100,0,0,0,1,0
1422,GH Bodi (SA),2007-2007,1,1,0,8,8,8,25,32,0,0,0,0,0
1423,JJ Bumrah (INDIA),2016-2019,42,6,4,8,7,4,13,61.53,0,0,1,1,0
1424,Charanjeet Singh (ITA),2019-2019,3,2,2,8,8*,-,9,88.88,0,0,0,1,0
1425,H Dandapani (Fin),2019-2019,5,3,2,8,5,8,15,53.33,0,0,0,0,0
1426,AS Dean (CAN),2008-2013,2,2,0,8,7,4,10,80,0,0,0,0,0
1427,B Fernando (SL),2015-2015,2,1,1,8,8*,-,12,66.66,0,0,0,1,0
1428,JD Freyone (GIBR),2019-2019,4,4,0,8,4,2,29,27.58,0,0,2,0,0
1429,Hamza Dar (ESP),2019-2019,1,1,0,8,8,8,6,133.33,0,0,0,1,0
1430,HMRKB Herath (SL),2011-2016,17,6,3,8,3,2.66,12,66.66,0,0,0,0,0
1431,E Isaneez (UGA),2019-2019,3,2,2,8,7*,-,13,61.53,0,0,0,0,0
1432,S Randiv (SL),2010-2011,7,2,0,8,6,4,6,133.33,0,0,0,1,0
1433,N Khanna (MALTA),2019-2019,2,2,0,8,6,4,12,66.66,0,0,0,1,0
1434,Khushdil Shah (PAK),2019-2019,1,1,0,8,8,8,11,72.72,0,0,0,0,0
1435,Kuldeep Singh (PHI),2019-2019,4,3,0,8,6,2.66,16,50,0,0,0,0,0
1436,NCK Liyanage (MAL),2019-2019,6,3,1,8,8,4,8,100,0,0,1,1,0
1437,BAW Mendis (SL),2008-2014,39,8,5,8,4*,2.66,17,47.05,0,0,0,1,0
1438,M Mooketsi (Botsw),2019-2019,7,5,0,8,3,1.6,24,33.33,0,0,1,0,0
1439,Mujeeb Ur Rahman (AFG),2018-2019,16,3,3,8,8*,-,8,100,0,0,0,1,0
1440,WA Peatfield (GUE),2019-2019,8,2,1,8,7*,8,12,66.66,0,0,0,1,0
1441,CAK Rajitha (SL),2016-2019,10,4,2,8,5,4,23,34.78,0,0,1,0,0
1442,Shahadat Hossain (BDESH),2006-2013,6,5,3,8,4*,4,12,66.66,0,0,1,0,0
1443,I Sharma (INDIA),2008-2013,14,3,2,8,5*,8,9,88.88,0,0,1,1,0
1444,Simranjit Singh (ITA),2019-2019,1,1,0,8,8,8,9,88.88,0,0,0,0,0
1445,O Thomas (WI),2018-2019,10,4,2,8,8*,4,11,72.72,0,0,2,2,0
1446,R Vishwanath (LUX),2019-2019,2,2,0,8,5,4,10,80,0,0,0,1,0
1447,BV Vitori (ZIM),2012-2016,11,2,2,8,7*,-,7,114.28,0,0,0,0,0
1448,Yasar Idrees (KUW),2019-2019,1,1,0,8,8,8,4,200,0,0,0,0,1
1449,Al-Amin Hossain (BDESH),2013-2019,28,6,4,7,5*,3.5,12,58.33,0,0,1,1,0
1450,RP Arnold (SL),2006-2006,1,1,0,7,7,7,7,100,0,0,0,0,0
1451,Aslam Mohammad (),2019-2019,3,1,0,7,7,7,8,87.5,0,0,0,1,0
1452,PRP Boissevain (NL),2019-2019,4,2,1,7,7*,7,7,100,0,0,1,1,0
1453,NB Budayair (NEPAL),2014-2014,4,3,1,7,5,3.5,19,36.84,0,0,1,0,0
1454,MA Carberry (ENG),2014-2014,1,1,0,7,7,7,7,100,0,0,0,1,0
1455,PKD Chase (IRE),2018-2019,12,5,4,7,4,7,13,53.84,0,0,0,1,0
1456,DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7,10,70,0,0,0,1,0
1457,P Danci (ROM),2019-2019,2,2,1,7,5,7,11,63.63,0,0,0,1,0
1458,DC Delany (IRE),2019-2019,8,2,0,7,7,3.5,6,116.66,0,0,1,0,0
1459,P Kumar (INDIA),2008-2012,10,3,0,7,6,2.33,16,43.75,0,0,1,0,0
1460,Kushal Malla (NEPAL),2019-2019,3,2,0,7,5,3.5,15,46.66,0,0,0,1,0
1461,RAS Lakmal (SL),2011-2019,11,6,3,7,5*,2.33,11,63.63,0,0,2,1,0
1462,ND McKenzie (SA),2006-2009,2,1,1,7,7*,-,8,87.5,0,0,0,0,0
1463,S Mahmood (ENG),2019-2019,3,2,1,7,4,7,7,100,0,0,0,1,0
1464,A Nao (PNG),2017-2017,2,2,2,7,7*,-,4,175,0,0,0,1,0
1465,Naveen-ul-Haq (AFG),2019-2019,4,2,1,7,5,7,7,100,0,0,0,1,0
1466,J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0
1467,Qadeer Ahmed (UAE),2015-2019,10,4,3,7,5*,7,12,58.33,0,0,1,1,0
1468,LH Rodrigues (),2019-2019,4,3,2,7,4*,7,12,58.33,0,0,1,1,0
1469,GA Rogers (SCOT),2008-2009,2,2,2,7,6*,-,8,87.5,0,0,0,0,0
1470,E Schiferli (NL),2008-2010,7,3,1,7,5*,3.5,16,43.75,0,0,1,0,0
1471,JN Snape (ENG),2007-2007,1,1,0,7,7,7,11,63.63,0,0,0,0,0
1472,Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140,0,0,0,0,1
1473,Sumair Khan (MALTA),2019-2019,1,1,0,7,7,7,6,116.66,0,0,0,1,0
1474,Syed Rasel (BDESH),2007-2008,8,3,1,7,6,3.5,9,77.77,0,0,0,1,0
1475,Tanveer Ahmed (HKG),2016-2017,5,2,1,7,7*,7,11,63.63,0,0,1,1,0
1476,LV van Beek (NL),2014-2016,8,4,1,7,4*,2.33,15,46.66,0,0,0,0,0
1477,Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
1478,U Aryaman Sunil (SGP),2019-2019,2,1,0,6,6,6,4,150,0,0,0,0,1
1479,TS Braat (NL),2019-2019,3,2,0,6,5,3,7,85.71,0,0,0,1,0
1480,DG Brownlie (NZ),2010-2014,5,5,0,6,5,1.2,18,33.33,0,0,3,1,0
1481,DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.5,12,50,0,0,2,0,0
1482,SDJJ Dima (Moz),2019-2019,4,2,0,6,3,3,8,75,0,0,0,0,0
1483,RMS Eranga (SL),2012-2013,3,1,0,6,6,6,7,85.71,0,0,0,1,0
1484,L Evile (Samoa),2019-2019,4,1,0,6,6,6,7,85.71,0,0,0,1,0
1485,NM Hauritz (AUS),2009-2009,3,2,0,6,4,3,10,60,0,0,0,1,0
1486,R Hekure (PNG),2019-2019,8,4,1,6,2*,2,12,50,0,0,0,0,0
1487,PJ Hughes (AUS),2014-2014,1,1,0,6,6,6,8,75,0,0,0,1,0
1488,Javed Ahmadi (AFG),2012-2017,3,2,0,6,6,3,7,85.71,0,0,1,1,0
1489,Jay Odedra (OMAN),2019-2019,3,1,1,6,6*,-,6,100,0,0,0,0,0
1490,D Maisuria (Botsw),2019-2019,6,3,2,6,6*,6,11,54.54,0,0,1,0,0
1491,I Master (Botsw),2019-2019,2,2,0,6,4,3,8,75,0,0,0,1,0
1492,Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.5,0,0,0,0,0
1493,KO Meth (ZIM),2012-2012,2,1,1,6,6*,-,6,100,0,0,0,0,0
1494,J Mulder (IRE),2016-2017,8,4,2,6,5*,3,11,54.54,0,0,1,0,0
1495,GBW Munaweera (QAT),2019-2019,5,1,1,6,6*,-,7,85.71,0,0,0,0,0
1496,L Ngidi (SA),2017-2018,7,2,1,6,4,6,9,66.66,0,0,0,0,0
1497,Omar Hayat (DEN),2019-2019,2,2,0,6,5,3,4,150,0,0,0,0,0
1498,JA Rudolph (SA),2006-2006,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
1499,Shoaib Ali (Saudi),2019-2019,5,2,0,6,6,3,10,60,0,0,1,0,0
1500,OF Smith (WI),2018-2018,2,1,0,6,6,6,5,120,0,0,0,1,0
1501,R Strydom (IRE),2008-2008,4,2,1,6,5*,6,7,85.71,0,0,0,0,0
1502,HER Tyler (PHI),2019-2019,2,1,0,6,6,6,9,66.66,0,0,0,0,0
1503,TC Vine (ESP),2019-2019,6,1,1,6,6*,-,7,85.71,0,0,0,1,0
1504,CA Young (IRE),2015-2019,26,7,5,6,2*,3,11,54.54,0,0,0,0,0
1505,SA Abbott (AUS),2014-2019,4,1,0,5,5,5,8,62.5,0,0,0,1,0
1506,M Ansari (OMAN),2015-2016,11,4,4,5,3*,-,10,50,0,0,0,0,0
1507,Anwar Rahman (MAL),2019-2019,9,4,1,5,3*,1.66,8,62.5,0,0,1,0,0
1508,Arslan Ahmed (),2019-2019,3,1,0,5,5,5,13,38.46,0,0,0,0,0
1509,MS Atapattu (SL),2006-2006,2,1,0,5,5,5,8,62.5,0,0,0,0,0
1510,Atif Mehmood (ESP),2019-2019,9,2,2,5,5*,-,8,62.5,0,0,0,0,0
1511,MA Baig (MWI),2019-2019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0
1512,A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
1513,A Bohara (NEPAL),2019-2019,17,5,2,5,3*,1.66,12,41.66,0,0,2,0,0
1514,IG Butler (NZ),2009-2013,19,6,5,5,2*,5,10,50,0,0,0,0,0
1515,T Caruana (GIBR),2019-2019,2,1,0,5,5,5,13,38.46,0,0,0,0,0
1516,Hasheem Shahzad (MALTA),2019-2019,2,2,0,5,5,2.5,9,55.55,0,0,1,1,0
1517,Imran Ali (KUW),2019-2019,4,2,1,5,5*,5,6,83.33,0,0,1,0,0
1518,Junaid Siddique (UAE),2019-2019,8,4,1,5,3,1.66,17,29.41,0,0,1,0,0
1519,I Katzarski (),2019-2019,3,2,0,5,3,2.5,12,41.66,0,0,0,0,0
1520,D Kegasitswe (Botsw),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0
1521,TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
1522,A Krishna (SGP),2019-2019,4,2,1,5,4,5,3,166.66,0,0,0,1,0
1523,AM McCarthy (WI),2018-2018,1,1,0,5,5,5,8,62.5,0,0,0,0,0
1524,GD McGrath (AUS),2005-2005,2,1,0,5,5,5,12,41.66,0,0,0,0,0
1525,CS Martin (NZ),2007-2008,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
1526,Mohammad Hasnain (PAK),2019-2019,4,3,2,5,4*,5,12,41.66,0,0,0,1,0
1527,Mohammad Salman (PAK),2011-2011,1,1,0,5,5,5,6,83.33,0,0,0,0,0
1528,A Morris (Caym),2019-2019,6,4,2,5,3*,2.5,17,29.41,0,0,1,0,0
1529,GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
1530,T Mupariwa (ZIM),2007-2008,4,2,2,5,3*,-,3,166.66,0,0,0,0,0
1531,N M'shangwe (ZIM),2013-2014,5,2,1,5,5*,5,4,125,0,0,1,1,0
1532,A Nanda (LUX),2019-2019,3,1,0,5,5,5,5,100,0,0,0,1,0
1533,GM Ntambalika (MWI),2019-2019,3,1,0,5,5,5,11,45.45,0,0,0,0,0
1534,Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5,6,83.33,0,0,0,0,0
1535,NK Patel (USA),2019-2019,4,2,1,5,5*,5,10,50,0,0,1,0,0
1536,D Paterson (SA),2017-2018,8,2,1,5,4*,5,2,250,0,0,0,1,0
1537,JL Pattinson (AUS),2011-2012,4,2,2,5,5*,-,3,166.66,0,0,0,1,0
1538,JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125,0,0,0,0,0
1539,AG Prince (SA),2005-2005,1,1,0,5,5,5,6,83.33,0,0,0,0,0
1540,K Rabada (SA),2014-2019,21,4,2,5,5*,2.5,12,41.66,0,0,2,0,0
1541,RJ Ranpura (OMAN),2015-2016,3,2,2,5,5*,-,8,62.5,0,0,0,0,0
1542,BM Scholtz (NAM),2019-2019,14,4,3,5,3*,5,10,50,0,0,1,0,0
1543,RJ Sidebottom (ENG),2007-2010,18,1,1,5,5*,-,4,125,0,0,0,1,0
1544,M Spry (Peru),2019-2019,4,2,1,5,3*,5,11,45.45,0,0,0,0,0
1545,R Telemachus (SA),2006-2007,3,1,1,5,5*,-,3,166.66,0,0,0,0,0
1546,BM Tickner (NZ),2019-2019,3,1,1,5,5*,-,6,83.33,0,0,0,0,0
1547,DR Tuffey (NZ),2005-2010,3,2,1,5,5*,5,5,100,0,0,1,1,0
1548,C Vorster (GUE),2019-2019,1,1,0,5,5,5,8,62.5,0,0,0,0,0
1549,TD Astle (NZ),2016-2019,3,2,0,4,3,2,10,40,0,0,0,0,0
1550,Baljit Singh (ITA),2019-2019,8,3,0,4,3,1.33,16,25,0,0,1,0,0
1551,GJ Batty (ENG),2009-2009,1,1,0,4,4,4,7,57.14,0,0,0,0,0
1552,P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0
1553,SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2,16,25,0,0,1,0,0
1554,JAR Blain (SCOT),2007-2008,6,3,1,4,3*,2,5,80,0,0,1,0,0
1555,CJ Boyce (AUS),2014-2016,7,2,1,4,3,4,7,57.14,0,0,0,0,0
1556,PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
1557,NM Carter (SCOT),2013-2013,7,2,0,4,3,2,12,33.33,0,0,0,0,0
1558,YS Chahal (INDIA),2016-2019,36,3,2,4,3*,4,9,44.44,0,0,0,0,0
1559,PC Connell (IRE),2008-2010,9,3,2,4,3*,4,7,57.14,0,0,1,0,0
1560,PA Desai (CAN),2012-2012,1,1,1,4,4*,-,7,57.14,0,0,0,0,0
1561,AB Dursak (TKY),2019-2019,4,4,0,4,3,1,24,16.66,0,0,2,0,0
1562,C Emmott (Chile),2019-2019,2,2,0,4,4,2,11,36.36,0,0,1,0,0
1563,Farhan Ahmed (UAE),2016-2016,3,1,0,4,4,4,8,50,0,0,0,0,0
1564,K Gore (USA),2019-2019,4,1,1,4,4*,-,3,133.33,0,0,0,0,0
1565,Ibrahim Rizan (Mald),2019-2019,5,3,1,4,3,2,14,28.57,0,0,0,0,0
1566,Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50,0,0,0,0,0
1567,H Ivanov (),2019-2019,3,1,0,4,4,4,6,66.66,0,0,0,0,0
1568,A Karn (NEPAL),2015-2015,2,1,0,4,4,4,7,57.14,0,0,0,0,0
1569,MF Koc (TKY),2019-2019,2,2,1,4,4*,4,15,26.66,0,0,1,0,0
1570,CBRLS Kumara (SL),2019-2019,3,1,0,4,4,4,2,200,0,0,0,1,0
1571,CK Langeveldt (SA),2005-2010,9,3,2,4,2*,4,8,50,0,0,0,0,0
1572,NM Lyon (AUS),2016-2018,2,1,1,4,4*,-,4,100,0,0,0,0,0
1573,RT Lyons (SCOT),2010-2010,2,2,0,4,4,2,17,23.52,0,0,1,0,0
1574,GE Mathurin (WI),2011-2012,3,2,2,4,3*,-,5,80,0,0,0,0,0
1575,Mohammad Irfan (PAK),2012-2019,22,4,4,4,2*,-,8,50,0,0,0,0,0
1576,Mohammad Tauqir (UAE),2015-2015,3,2,1,4,4,4,6,66.66,0,0,0,1,0
1577,Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20,0,0,1,0,0
1578,Muhammad Rafique (BAH),2019-2019,2,1,0,4,4,4,5,80,0,0,0,0,0
1579,JM Muirhead (AUS),2014-2014,5,2,1,4,3,4,8,50,0,0,0,0,0
1580,Nazmus Sadat (BDESH),2006-2006,1,1,0,4,4,4,3,133.33,0,0,0,0,0
1581,JO Ngoche (KENYA),2012-2013,7,3,1,4,2,2,17,23.52,0,0,0,0,0
1582,Pavandeep Singh (MAL),2019-2019,10,4,3,4,2*,4,7,57.14,0,0,0,0,0
1583,Qasim Zia (BAH),2019-2019,3,1,1,4,4*,-,1,400,0,0,0,1,0
1584,NJ Reardon (AUS),2014-2014,2,1,0,4,4,4,8,50,0,0,0,0,0
1585,CB Sole (SCOT),2017-2018,4,1,1,4,4*,-,2,200,0,0,0,1,0
1586,CR Suryawanshi (SGP),2019-2019,3,2,0,4,4,2,6,66.66,0,0,1,0,0
1587,K Suttisan (THAI),2019-2019,2,2,0,4,4,2,5,80,0,0,1,1,0
1588,SP Terry (IRE),2016-2016,1,1,0,4,4,4,6,66.66,0,0,0,0,0
1589,T Thushara (SL),2008-2010,6,2,0,4,3,2,8,50,0,0,0,0,0
1590,T Tshose (Botsw),2019-2019,2,2,2,4,4*,-,6,66.66,0,0,0,0,0
1591,T Ulutuna (TKY),2019-2019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0
1592,S Vashisht (ROM),2019-2019,3,1,0,4,4,4,6,66.66,0,0,0,1,0
1593,Abu Jayed (BDESH),2018-2018,3,2,0,3,2,1.5,7,42.85,0,0,0,0,0
1594,GJ Agius (MALTA),2019-2019,2,2,0,3,3,1.5,15,20,0,0,1,0,0
1595,Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.5,6,50,0,0,1,0,0
1596,Amjad Mahboob (SGP),2019-2019,11,5,1,3,1*,0.75,14,21.42,0,0,2,0,0
1597,A Aspiotis (),2019-2019,3,1,1,3,3*,-,4,75,0,0,0,0,0
1598,MC Bascombe (WI),2011-2011,1,1,0,3,3,3,7,42.85,0,0,0,0,0
1599,P Bhart (NOR),2019-2019,5,3,2,3,2*,3,17,17.64,0,0,1,0,0
1600,S Byrne (MALTA),2019-2019,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
1601,CL Cairns (NZ),2005-2006,2,2,0,3,2,1.5,13,23.07,0,0,0,0,0
1602,D de la Puente (Peru),2019-2019,2,2,1,3,2*,3,7,42.85,0,0,0,0,0
1603,ST de Silva (SL),2017-2017,3,2,0,3,3,1.5,7,42.85,0,0,1,0,0
1604,Fahad Ali (),2019-2019,3,3,0,3,2,1,14,21.42,0,0,1,0,0
1605,Fawad Ahmed (AUS),2013-2013,2,1,1,3,3*,-,5,60,0,0,0,0,0
1606,Fida Hussain (ITA),2019-2019,2,1,1,3,3*,-,4,75,0,0,0,0,0
1607,WT Gavera (PNG),2015-2017,6,2,0,3,2,1.5,6,50,0,0,0,0,0
1608,JOA Gordon (CAN),2013-2019,7,2,2,3,2*,-,6,50,0,0,0,0,0
1609,AM Guruge (UAE),2014-2015,5,3,2,3,1*,3,8,37.5,0,0,0,0,0
1610,Ibrahim Nashath (Mald),2019-2019,3,2,1,3,3*,3,5,60,0,0,1,0,0
1611,Javed Maroofkhail (NOR),2019-2019,2,1,0,3,3,3,8,37.5,0,0,0,0,0
1612,Junaid Khan (PAK),2011-2014,9,2,2,3,3*,-,4,75,0,0,0,0,0
1613,MS Kasprowicz (AUS),2005-2005,2,1,1,3,3*,-,5,60,0,0,0,0,0
1614,GJP Kruger (SA),2006-2006,1,1,0,3,3,3,5,60,0,0,0,0,0
1615,Mahmad Data (PNM),2019-2019,2,1,0,3,3,3,5,60,0,0,0,0,0
1616,Nazmul Hossain (BDESH),2009-2012,4,2,2,3,3*,-,15,20,0,0,0,0,0
1617,R Olipa (UGA),2019-2019,2,1,0,3,3,3,4,75,0,0,0,0,0
1618,M Patel (PNM),2019-2019,2,1,1,3,3*,-,6,50,0,0,0,0,0
1619,LN Rajbanshi (NEPAL),2018-2019,12,2,1,3,3,3,7,42.85,0,0,0,0,0
1620,KAJ Roach (WI),2008-2012,11,1,1,3,3*,-,2,150,0,0,0,0,0
1621,MM Sharma (INDIA),2014-2015,8,2,2,3,3*,-,7,42.85,0,0,0,0,0
1622,LA Simango (Moz),2019-2019,3,2,1,3,2,3,4,75,0,0,0,0,0
1623,RP Singh (INDIA),2007-2009,10,2,2,3,2*,-,3,100,0,0,0,0,0
1624,MJ Swepson (AUS),2018-2018,1,1,1,3,3*,-,4,75,0,0,0,0,0
1625,Tauqeer Hussain (ESP),2019-2019,4,1,1,3,3*,-,3,100,0,0,0,0,0
1626,R Ulutuna (TKY),2019-2019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0
1627,SMK Waththage (CZK-R),2019-2019,5,1,0,3,3,3,5,60,0,0,0,0,0
1628,Zahid Hussain (CAN),2012-2012,3,2,2,3,2*,-,8,37.5,0,0,0,0,0
1629,Abdullah Mahmood (DEN),2019-2019,1,1,0,2,2,2,2,100,0,0,0,0,0
1630,AG Achar (SGP),2019-2019,3,2,2,2,2*,-,2,100,0,0,0,0,0
1631,N Advani (GIBR),2019-2019,1,1,0,2,2,2,4,50,0,0,0,0,0
1632,Aftab Alam (AFG),2012-2018,12,5,3,2,1*,1,9,22.22,0,0,1,0,0
1633,Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2,12,16.66,0,0,0,0,0
1634,Arshad Hayat (CZK-R),2019-2019,6,2,0,2,2,1,7,28.57,0,0,1,0,0
1635,KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50,0,0,0,0,0
1636,Bashir Shah (DEN),2019-2019,4,2,2,2,1*,-,2,100,0,0,0,0,0
1637,A Bhattarai (NEPAL),2014-2014,1,1,0,2,2,2,3,66.66,0,0,0,0,0
1638,JP Bray (IRE),2009-2009,2,2,0,2,2,1,17,11.76,0,0,1,0,0
1639,GB Brent (ZIM),2006-2007,3,1,0,2,2,2,5,40,0,0,0,0,0
1640,P Buccimazza (PORT),2019-2019,4,2,0,2,1,1,13,15.38,0,0,0,0,0
1641,A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100,0,0,0,0,0
1642,S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40,0,0,0,0,0
1643,H Dajc (Serb),2019-2019,2,2,1,2,2*,2,3,66.66,0,0,1,0,0
1644,Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
1645,MVT Fernando (SL),2017-2017,1,1,0,2,2,2,2,100,0,0,0,0,0
1646,C Fry (LUX),2019-2019,3,1,0,2,2,2,6,33.33,0,0,0,0,0
1647,BD Glover (NL),2019-2019,19,4,3,2,1*,2,8,25,0,0,1,0,0
1648,Jandu Hamoud (KUW),2019-2019,6,1,0,2,2,2,4,50,0,0,0,0,0
1649,RJ Harris (AUS),2010-2010,3,1,1,2,2*,-,1,200,0,0,0,0,0
1650,BW Hilfenhaus (AUS),2007-2012,7,3,1,2,2,1,10,20,0,0,1,0,0
1651,A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200,0,0,0,0,0
1652,Ilyas Ahmed (KUW),2019-2019,6,3,2,2,1*,2,3,66.66,0,0,0,0,0
1653,AJ Ireland (ZIM),2006-2006,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
1654,S Kansoy (TKY),2019-2019,4,4,0,2,2,0.5,7,28.57,0,0,3,0,0
1655,A Khan (ENG),2009-2009,1,1,0,2,2,2,4,50,0,0,0,0,0
1656,RJ Kirtley (ENG),2007-2007,1,1,1,2,2*,-,4,50,0,0,0,0,0
1657,I Lisboa (Chile),2019-2019,1,1,0,2,2,2,3,66.66,0,0,0,0,0
1658,J Long (PHI),2019-2019,2,1,1,2,2*,-,6,33.33,0,0,0,0,0
1659,T Lungameni (NAM),2019-2019,6,1,1,2,2*,-,2,100,0,0,0,0,0
1660,MJ Mason (NZ),2006-2008,3,1,0,2,2,2,2,100,0,0,0,0,0
1661,Muslim Yar (GER),2019-2019,7,1,0,2,2,2,6,33.33,0,0,0,0,0
1662,S Nadigotla (ROM),2019-2019,2,1,0,2,2,2,6,33.33,0,0,0,0,0
1663,Najeeb Amar (HKG),2014-2014,1,1,0,2,2,2,9,22.22,0,0,0,0,0
1664,W Nalisa (VAN),2019-2019,9,3,2,2,1*,2,4,50,0,0,1,0,0
1665,Nazwan Ismail (Mald),2019-2019,3,1,1,2,2*,-,2,100,0,0,0,0,0
1666,A Ndlovu (ZIM),2019-2019,3,1,0,2,2,2,4,50,0,0,0,0,0
1667,K Nima (BHU),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
1668,Noman Kamawi (Belg),2019-2019,1,1,0,2,2,2,7,28.57,0,0,0,0,0
1669,L Nou (PNG),2015-2015,3,1,1,2,2*,-,3,66.66,0,0,0,0,0
1670,S Saeed (Mald),2019-2019,5,1,0,2,2,2,4,50,0,0,0,0,0
1671,Saqlain Ali (Belg),2019-2019,2,1,0,2,2,2,6,33.33,0,0,0,0,0
1672,Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2,2,2,5,40,0,0,0,0,0
1673,Suhrid Roy (MALTA),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
1674,A Tripathi (Mex),2019-2019,3,2,2,2,1*,-,4,50,0,0,0,0,0
1675,LL Tsotsobe (SA),2009-2014,23,3,2,2,1*,2,10,20,0,0,0,0,0
1676,Usman Shinwari (PAK),2013-2019,16,3,3,2,2*,-,3,66.66,0,0,0,0,0
1677,S Vijayakumar (SGP),2019-2019,9,2,0,2,1,1,5,40,0,0,0,0,0
1678,R Vinay Kumar (INDIA),2010-2013,9,1,1,2,2*,-,4,50,0,0,0,0,0
1679,Waqar Khan (Peru),2019-2019,4,2,1,2,2*,2,3,66.66,0,0,1,0,0
1680,Waqas Raja (Fin),2019-2019,1,1,1,2,2*,-,2,100,0,0,0,0,0
1681,UWMBCA Welegedara (SL),2010-2010,2,1,1,2,2*,-,3,66.66,0,0,0,0,0
1682,BTJ Wheal (SCOT),2016-2017,5,2,2,2,2*,-,2,100,0,0,0,0,0
